epoch,accuracy,loss,val_accuracy,val_accuracy/easy,val_accuracy/extreme,val_accuracy/hard,val_accuracy/insane,val_accuracy/medium,val_loss,val_loss/easy,val_loss/extreme,val_loss/hard,val_loss/insane,val_loss/medium,val_sudoku_win_rate,val_sudoku_win_rate/easy,val_sudoku_win_rate/extreme,val_sudoku_win_rate/hard,val_sudoku_win_rate/insane,val_sudoku_win_rate/medium,winrate,run
0,0.7635213732719421,0.5290087461471558,0.7870472,0.9949585,0.71504134,0.8048698,0.66262484,0.8942247,0.49018896,0.020894388,0.647953,0.45329675,0.76602966,0.26224092,0.13164286,0.7123123,0.0,0.0,0.0,0.0019,0.09312654286623,Random_Data_bigger_big_conv_head_1693915710.1695652
1,0.7939058542251587,0.4770123660564422,0.79784334,0.9968861,0.7278636,0.818371,0.67512393,0.9070636,0.4691093,0.014013149,0.6247233,0.4266983,0.74359816,0.23454027,0.15036437,0.8115011,0.0,5e-05,0.0,0.00475,0.1437301337718963,Random_Data_bigger_big_conv_head_1693915710.1695652
2,0.8010600805282593,0.462433397769928,0.8022412,0.9975648,0.7332309,0.8236562,0.6802977,0.91229075,0.45982593,0.011820417,0.6136544,0.41507772,0.7331276,0.22352673,0.1580144,0.8508152,0.0,5e-05,0.0,0.00745,0.1549343317747116,Random_Data_bigger_big_conv_head_1693915710.1695652
3,0.8045902252197266,0.4548831284046173,0.80488366,0.99777997,0.73613644,0.8272031,0.6836142,0.91509813,0.45392457,0.010100656,0.6074842,0.40760246,0.7268379,0.21523492,0.16048048,0.86350495,0.0,0.0001,0.0,0.00825,0.159436747431755,Random_Data_bigger_big_conv_head_1693915710.1695652
4,0.8068960309028625,0.44993856549263,0.80631363,0.9979574,0.73839444,0.82880247,0.68512607,0.9168852,0.45052248,0.009805607,0.6028956,0.40316257,0.7227647,0.2118707,0.16268736,0.8741868,0.0,0.0001,0.0,0.00985,0.1623130291700363,Random_Data_bigger_big_conv_head_1693915710.1695652
5,0.8084269762039185,0.446532279253006,0.80782795,0.9981235,0.7400753,0.8308259,0.68696034,0.9186,0.44740888,0.00892442,0.59964746,0.39907494,0.719572,0.2072844,0.16458322,0.88342303,0.0,0.0001,0.0,0.01115,0.164047509431839,Random_Data_bigger_big_conv_head_1693915710.1695652
6,0.8096913695335388,0.4438494741916656,0.8083711,0.9981364,0.7407809,0.8313358,0.68764275,0.9193253,0.4460818,0.008872293,0.5978497,0.3973256,0.7178625,0.20622122,0.16518307,0.8850695,0.0,0.0001,0.0,0.01315,0.1654782444238662,Random_Data_bigger_big_conv_head_1693915710.1695652
7,0.8106184005737305,0.4417824745178222,0.80930793,0.9981835,0.7419006,0.83273953,0.6886877,0.9204494,0.44407946,0.008428457,0.59550136,0.39478284,0.715762,0.20341082,0.16581996,0.88784033,0.0,5e-05,0.0,0.01405,0.1665719002485275,Random_Data_bigger_big_conv_head_1693915710.1695652
8,0.8113951683044434,0.4401740431785583,0.8098168,0.99821967,0.74256605,0.8336284,0.68930507,0.9207377,0.44285768,0.008117735,0.5940839,0.39319322,0.71453935,0.2016204,0.16583477,0.8889246,0.0,0.00015,0.0,0.0127,0.1674081236124038,Random_Data_bigger_big_conv_head_1693915710.1695652
9,0.8119379878044128,0.4389593005180359,0.8100272,0.99833024,0.74302715,0.83386666,0.6893561,0.92119384,0.4425229,0.007783466,0.59371775,0.39282688,0.71442014,0.20080784,0.1673085,0.896434,0.0,0.00015,0.0,0.0133,0.1680832058191299,Random_Data_bigger_big_conv_head_1693915710.1695652
10,0.8124756813049316,0.4377737641334533,0.8109631,0.9984051,0.7441864,0.83475924,0.6906076,0.92223024,0.4406213,0.00733295,0.5917202,0.390544,0.7123223,0.19806844,0.16830826,0.900771,0.0,0.00025,0.0,0.01455,0.1686879098415374,Random_Data_bigger_big_conv_head_1693915710.1695652
11,0.8129391074180603,0.4368517100811004,0.8104137,0.99834067,0.7434321,0.834371,0.68986213,0.9216123,0.44157034,0.007641864,0.59247756,0.39195403,0.713209,0.19970174,0.16782689,0.8980403,0.0,0.00025,0.0,0.0147,0.1690305471420288,Random_Data_bigger_big_conv_head_1693915710.1695652
12,0.8133344054222107,0.43597412109375,0.8114973,0.9984577,0.74453455,0.83557904,0.6912888,0.9228963,0.43937624,0.0071873046,0.5903276,0.38897103,0.71086884,0.19645232,0.1689007,0.9033812,0.0,0.0003,0.0,0.01525,0.1695287525653839,Random_Data_bigger_big_conv_head_1693915710.1695652
13,0.8137037754058838,0.4352368712425232,0.8115033,0.9984686,0.7446463,0.83557224,0.6911679,0.92312163,0.4391185,0.007225684,0.5896833,0.3885716,0.71053094,0.19655505,0.16912287,0.9041041,5e-05,0.0003,0.0,0.0158,0.1700149327516555,Random_Data_bigger_big_conv_head_1693915710.1695652
14,0.8140093088150024,0.434583842754364,0.8112336,0.9984061,0.7441018,0.8352537,0.6909701,0.92273706,0.4402985,0.0074620172,0.59152603,0.39004382,0.71195,0.19735584,0.16833787,0.9004096,0.0,0.0003,0.0,0.01515,0.17047980427742,Random_Data_bigger_big_conv_head_1693915710.1695652
15,0.8143027424812317,0.43392413854599,0.81155956,0.9984943,0.7448278,0.8357926,0.6910369,0.9233963,0.43872964,0.0069325278,0.58911765,0.38810146,0.71028984,0.19593489,0.16948575,0.9059513,0.0,0.00025,0.0,0.01605,0.1708891093730926,Random_Data_bigger_big_conv_head_1693915710.1695652
16,0.8145439028739929,0.4333727657794952,0.81203413,0.99854046,0.7455247,0.836358,0.69168705,0.9236506,0.43774733,0.0067580612,0.5878158,0.38691202,0.7092258,0.19467814,0.1698116,0.90811986,0.0,0.00045,0.0,0.01535,0.171215072274208,Random_Data_bigger_big_conv_head_1693915710.1695652
17,0.8147903680801392,0.4328856170177459,0.8120334,0.99851716,0.7452161,0.8365093,0.69171757,0.9237555,0.4379831,0.006618308,0.58874804,0.38693738,0.7098064,0.19403091,0.16964127,0.9069151,0.0,0.0003,0.0,0.01585,0.171372503042221,Random_Data_bigger_big_conv_head_1693915710.1695652
18,0.8149071931838989,0.4325803220272064,0.8124482,0.99861085,0.74565,0.83683026,0.69224215,0.92436975,0.43680194,0.006539046,0.58701426,0.3857815,0.7082163,0.1930304,0.17056698,0.91149306,0.0,0.00035,0.0,0.01635,0.1714558452367782,Random_Data_bigger_big_conv_head_1693915710.1695652
19,0.8150889277458191,0.4321927726268768,0.8124465,0.9985662,0.7458346,0.83710986,0.69206876,0.92438394,0.43707943,0.006460338,0.5876965,0.38591576,0.7087348,0.19288564,0.17026335,0.90952533,0.0,0.00035,0.0,0.01675,0.1717568188905716,Random_Data_bigger_big_conv_head_1693915710.1695652
0,0.9930719137191772,0.0206369403749704,0.99942297,0.9999921,0.99936134,0.9997799,0.9988126,0.999937,0.0022998282,4.5335026e-05,0.0025381208,0.00088679296,0.0047401087,0.0002127681,0.9714589,0.9994,0.9656616,0.9866653,0.94402,0.99549305,0.8849599361419678,Group_Data_bigger_big_conv_head_1693983284.6414773
1,0.9997975826263428,0.0010740614961832,0.99977493,0.9999985,0.99974895,0.9999346,0.9995259,0.9999823,0.0009881309,1.12772e-05,0.0011289999,0.000291632,0.0020622215,8.8535926e-05,0.98891926,0.99988,0.9875903,0.9961045,0.97714,0.9987123,0.9870232939720154,Group_Data_bigger_big_conv_head_1693983284.6414773
2,0.9999173879623412,0.0005422940012067,0.99982893,0.99999654,0.99981236,0.99996793,0.9996321,0.9999872,0.0007106558,8.8730885e-06,0.0007721036,0.00014690442,0.0015303174,4.7812464e-05,0.9915139,0.99972,0.9900822,0.99770266,0.9825,0.99895996,0.9932639002799988,Group_Data_bigger_big_conv_head_1693983284.6414773
3,0.99994957447052,0.0003534955321811,0.99986446,0.999997,0.99984616,0.9999587,0.999718,0.9999878,0.00057316094,8.63178e-06,0.00070005,0.0001688892,0.0011801048,4.3952037e-05,0.9930958,0.99976,0.9922751,0.9975528,0.98584,0.99920756,0.9954894781112672,Group_Data_bigger_big_conv_head_1693983284.6414773
4,0.9999625086784364,0.0002817855565808,0.99992466,0.99999654,0.9999071,0.9999698,0.99984986,0.99999386,0.0003047499,9.351158e-06,0.00034919154,0.00011471461,0.00062492304,2.1934095e-05,0.995683,0.99972,0.99481684,0.9979024,0.99158,0.99950475,0.9964166283607484,Group_Data_bigger_big_conv_head_1693983284.6414773
5,0.9999690651893616,0.0002362038794672,0.99987876,0.9999941,0.99986523,0.9999716,0.9997459,0.9999865,0.0004936156,1.569794e-05,0.0005212226,0.00011113524,0.0010588174,3.7586502e-05,0.9936132,0.99964,0.9922253,0.99815214,0.98718,0.99895996,0.9969584345817566,Group_Data_bigger_big_conv_head_1693983284.6414773
6,0.9999789595603944,0.0001792611728888,0.99994034,0.999999,0.99992496,0.9999815,0.9998768,0.9999994,0.00025510206,1.7892094e-06,0.00030541542,6.882629e-05,0.0005379109,3.1402658e-06,0.9963113,0.99992,0.99546474,0.99875146,0.9924,0.99995047,0.997749388217926,Group_Data_bigger_big_conv_head_1693983284.6414773
7,0.9999819993972778,0.0001556721399538,0.99995446,0.9999995,0.99993724,0.99998397,0.99991035,0.9999957,0.00019337668,2.9531134e-06,0.00022753626,6.1133214e-05,0.0003984893,1.8420364e-05,0.9972945,0.99996,0.996013,0.99890125,0.99484,0.99975234,0.997927188873291,Group_Data_bigger_big_conv_head_1693983284.6414773
8,0.9999823570251464,0.0001464254892198,0.9999384,0.999999,0.99993294,0.9999803,0.99986887,0.9999994,0.00026000442,3.6437937e-06,0.00028639653,7.708991e-05,0.0005541922,4.0768523e-06,0.99650353,0.99992,0.9960628,0.99880135,0.99266,0.99995047,0.9981105923652648,Group_Data_bigger_big_conv_head_1693983284.6414773
9,0.9999866485595704,0.0001285438338527,0.9999371,0.99999654,0.9999348,0.9999852,0.99986565,0.9999951,0.0002940065,1.5459029e-05,0.00030187704,9.969488e-05,0.0006192715,1.8300143e-05,0.9967623,0.99972,0.99676055,0.999151,0.99318,0.9996038,0.998246729373932,Group_Data_bigger_big_conv_head_1693983284.6414773
10,0.9999833703041076,0.0001363923220196,0.9999529,0.99999803,0.9999477,0.9999895,0.999901,0.9999945,0.0002095979,5.022217e-06,0.00019626439,4.1492232e-05,0.00045788215,2.8016819e-05,0.9973389,0.99984,0.99676055,0.9993507,0.99462,0.9995543,0.9982272982597352,Group_Data_bigger_big_conv_head_1693983284.6414773
11,0.9999898672103882,0.0001050008359015,0.99996275,0.99999803,0.9999668,0.9999932,0.99991727,0.99999756,0.00017972056,5.0002677e-06,0.0001687471,2.8735223e-05,0.00040084994,9.095013e-06,0.99796724,0.99984,0.99780715,0.9994506,0.99576,0.9998019,0.9985644221305848,Group_Data_bigger_big_conv_head_1693983284.6414773
12,0.999981164932251,0.0001386745134368,0.99996114,0.99999756,0.99996865,0.99998707,0.9999158,0.9999951,0.00017434175,8.029502e-06,0.00016229256,4.2682284e-05,0.00038007772,1.332911e-05,0.9978119,0.9998,0.9979068,0.999151,0.99548,0.9997028,0.9982773065567015,Group_Data_bigger_big_conv_head_1693983284.6414773
13,0.9999861121177672,0.000118847216072,0.9999427,0.99999803,0.9999459,0.99998707,0.999876,0.9999921,0.00022883079,6.6323737e-06,0.00020788422,4.3520253e-05,0.000504726,2.5322586e-05,0.99695444,0.99984,0.9964117,0.99910104,0.99382,0.9995543,0.9985283017158508,Group_Data_bigger_big_conv_head_1693983284.6414773
14,0.9999854564666748,0.0001202162820845,0.99994344,0.99999756,0.9999397,0.9999852,0.99987876,0.99999875,0.00024148275,4.1989783e-06,0.00025156874,6.580925e-05,0.00052117376,6.8573495e-06,0.9967622,0.9998,0.9964615,0.9989512,0.99322,0.99990094,0.9984366297721864,Group_Data_bigger_big_conv_head_1693983284.6414773
15,0.999986171722412,0.000108940534119,0.9999448,0.99999654,0.99994403,0.9999834,0.9998827,0.99999696,0.00025150704,1.2058187e-05,0.00020949006,7.753466e-05,0.000554775,1.1268301e-05,0.9970579,0.99972,0.9970097,0.9990511,0.99384,0.9998019,0.9985588788986206,Group_Data_bigger_big_conv_head_1693983284.6414773
16,0.999986171722412,0.0001114509286708,0.99991596,0.9999946,0.99989724,0.9999723,0.99983114,0.9999908,0.00035975102,1.6399046e-05,0.0004551069,9.9005345e-05,0.0007249349,4.4372868e-05,0.99520254,0.99968,0.99441814,0.9982021,0.9904,0.99935615,0.9985579252243042,Group_Data_bigger_big_conv_head_1693983284.6414773
17,0.9999880790710448,0.0001059280111803,0.9999335,0.99999756,0.9999422,0.9999834,0.99985456,0.9999914,0.00029545987,7.859515e-06,0.00025163597,6.696238e-05,0.00065682444,2.684076e-05,0.99646664,0.9998,0.9964615,0.9992509,0.9925,0.9994057,0.998626470565796,Group_Data_bigger_big_conv_head_1693983284.6414773
18,0.999985933303833,0.0001148590454249,0.9999488,0.99999607,0.9999526,0.9999772,0.9998933,0.9999957,0.00020875105,1.8314848e-05,0.00017689793,9.6797005e-05,0.00044065775,1.2938972e-05,0.9970579,0.99968,0.99695987,0.99890125,0.994,0.99965334,0.9985032677650452,Group_Data_bigger_big_conv_head_1693983284.6414773
19,0.9999825954437256,0.0001213125360663,0.9999665,0.9999985,0.99995756,0.99999386,0.9999296,0.9999994,0.0001464673,3.642466e-06,0.00019139866,2.04067e-05,0.00030824044,3.0631427e-06,0.9981077,0.99988,0.9977573,0.9995006,0.99606,0.99995047,0.9984884858131408,Group_Data_bigger_big_conv_head_1693983284.6414773
